employee_title,location,employee_status,review_title,pros,cons,rating_overall
 Software Engineer,,21 Apr 2022 ,Good i learn allt there,"Fun i learnt alot there
","None there r no fons
Advice to Management
I dont have any advance the eownw
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Solution Consultant,,5 Apr 2022 ,Good team,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Good team and working environment
Cons
Quite competitive as everyone has quite high standards
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,30 Mar 2022 ,Great perks and culture!,"- Fun and challenging projects to work on.
- Good culture within and across teams.
- Best-in-class perks, including paternal leave.
","The company has gone fully remote since the start of the pandemic, but has not committed to a fully remote work status. Employees are expected to return to office when the pandemic subsides.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,29 Mar 2022 ,Google,"Work life balance, great culture, diverse and multinational team
","It takes a long time to get promoted
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,25 Mar 2022 ,Best place to work at - It's true!,"All the great things you've heard about Google are true true true and actually it's a lot better than that! I can spend hours talking about this amazing workplace. A lot of autonomy to run projects, amazing compensation and benefits, best insurance, resources for health, good recognition and clear path to progression.
","Nothing to say about this!
Advice to Management
Please continue to foster this culture and protect it!
1 person found this review helpful
Helpful
Share
Repor",5.0
 Business Development Manager,,27 Mar 2022 ,Big tech company,"Welfare is competitive in the market
","Things are not going fast
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Recruiter,Singapore,22 Mar 2022 ,Excellent!,"Great culture and they values people
","Hard to move things fast
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Assistant Professor,,31 Mar 2022 ,Good company,"Enjoy working there very much
","Colleagues not friend ly at times
Advice to Management
Keep it up
Be the first to find this review helpful
Helpful
Share
Repor",3.0
Anonymous,,28 Mar 2022 ,no career path,"great colleague to work with
","no support, work depend on only one person
Be the first to find this review helpful
Helpful
Share
Repor",2.0
 Senior Program Manager,Singapore,12 Mar 2022 ,nil nil nil nil,"great culture , great people , great place to work
","no such cons to discuss
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Sales Executive,,13 Mar 2022 ,Good,"Good environment and friendly staff
","As of now cant think of one
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketing Manager,Singapore,8 Mar 2022 ,Great to work in Google,"- fabulous working environment and welfare
- talented humble friendly colleagues 
- efficient and effective work pattern
-advocate work/life balance, diversity
","you have to work really really hard to get promoted. It's too competitive!
1 person found this review helpful
Helpful
Share
Repor",5.0
 Business Internship,,7 Mar 2022 ,Good company,"A lot of benefits. High salary and medical insurance
","No work-life balance. Competitive colleagues.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Analyst,,28 Feb 2022 ,Good culture,"Work life balance and good conduct
","Honestly, no cons. Happy working there
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Sales Associate,,10 Mar 2022 ,Sales Associate,"Good wellfare, Worklife balance, Spot bonuses
","sort of manpower, poor targerting. limited inventory
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Partner,,23 Feb 2022 ,great,"great place to work ..
","nothing really to say really
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Business Program Manager,,19 Feb 2022 ,Great place!,"Great place to work! Everything is great so far with loads of perks, learning and development as well as enabling ERGs (Employee Resource Groups) to engage Googlers to contribute in the community. Proud to be called a “Googler”
","Processes may get so complicated but the good thing is that there are a lot of Googlers who are excellent in Problem Solving and help lessen the complexity.
Advice to Management
Thankful for making Google a great place to work.
1 person found this review helpful
Helpful
Share
Repor",5.0
Anonymous,,22 Feb 2022 ,Great place to work,"Great work culture, friendly colleuge
","Maybe if you are looking for work and life balance .... Might not be the place you are looking for depending on the teams
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,19 Feb 2022 ,culture review,"its good to be on google
","hard to say any cons
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Marketing Manager,Singapore,10 Feb 2022 ,Flexible but results driven,"Amazing environment where you are not micro managed but high pressure to delivery quality results in a competitive high performing team
","You're only as good as your last performance rating
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Head of Marketing,Singapore,10 Feb 2022 ,Awesome to work for,"Salary, benefits, insurance are all above par
","Too corporate, slow and political
Advice to Management
Scrap meetings
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,7 Feb 2022 ,Good,"This company pays me well
","Hard to get in this company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Network Implementation Engineer,,19 Feb 2022 ,Change is the only consistant,"- Decent benefits
- Able to disconnect from work after ""work hours""
","- Organization changes happens every 2 years
- Work From Home is not really ""accepted"" by Google Management
- Salary is based on Cost of Labor (not cost of living)
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Global Product Lead,,31 Jan 2022 ,-,"Great place to work for work life balance
","Still trying to find that out
Advice to Management
work on yourself
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Sales and Marketing Executive,,13 Feb 2022 ,great opportunities,"love the benefits provided there
","can be quite stressful sometimes
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Growth Manager,Singapore,26 Jan 2022 ,Good work life balance,"- Insurance 
- Work culture, Work life balance
- Internal mobility
","- Hierarchy, political
- High competition for promotion
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 HR Manager,Singapore,10 Feb 2022 ,.,"Good place to work, good benefits
","Chaotic work environment, lack of planning
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Head of Strategy and Operations,Singapore,6 Feb 2022 ,Overseeing Strategy and Operations of Asia Operations in People Space.,"Culture
People
Mission
Total Rewards
Office Environment
are something that is at the world class standard.
","Size of Company
Velocity of Decision Making
Impact
1 person found this review helpful
Helpful
Share
Repor",4.0
Anonymous,,8 Feb 2022 ,Nice place to work,"It is a good place to work
","There is no cons for working in google
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Recruitment,Singapore,20 Jan 2022 ,Great company but more and more political,"Most people are great and want to do good
Very good benefits and work environment
","Recruitment is poorly lead globally. No consideration for people, Mountain View centric leadership. Many talented people with genuinely positive influence have left after being sidelined.
The company is not adapting enough to the remote new trend.
Internal mobility is promoted in theory but not managed fairly.
Advice to Management
Think like humans and not only through the productivity lens.
Improve internal mobility policy, especially to make it fair and not just about who you know
7 people found this review helpful
Helpful
Share
Repor",4.0
 Data Analyst,Singapore,24 Jan 2022 ,good,"stressful busy anxious busy busy
","kind warm nice good good
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Account Manager,,20 Jan 2022 ,Noice,"It’s very specialise and sometimes abit mundane
","Very stagnant and sometimes nothing much to do
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Assistant Manager,,17 Jan 2022 ,good,"very good leadership and management
","not enough money and too political
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,13 Jan 2022 ,good,"1. wlb
2. great infra
3. great engineering
","1. move slow
2. feel less impact
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Administrative Assistant,Singapore,14 Jan 2022 ,Good,"Best place to work in
","No bad reviews for the company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,Singapore,13 Jan 2022 ,Very good,"innovative innovative innovative innovative innovative
","flexible flexible flexible flexible flexible
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Account Manager,,11 Jan 2022 ,Great benefits and work culture,"Cant complain about the insurance benefits
Inclusive and respectful mgmt
","Fast pace high performers everywherr
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Engineer,Singapore,21 Jan 2022 ,Good workplace,"Nice environment, good colleagues and good salary
","Nothing in particular. Overall good experience
Advice to Management
Good leadership
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Recruiter,,13 Feb 2022 ,"Great Brand Name and Benefits, ALOT OF CONS to consider","-Great benefits and insurance coverage, it's like no other!
-Most recognised brand name in the world.
-Alot of resources for you to leverage if you take the initiative
","-Company is a massive machine so decision making and change has a massive drag, you will feel like a tiny cog in the machine
-Google down-levels you and you will feel short changed as performance review and promotion is biased
-Company stresses about DEI, pressures recruiters about diversity but does not do anything about inclusion
-Discriminatory practices around rewards and recognition
-No transparency with performance reviews and promotion
-It's very political
-Ill experienced managers who gaslights you
Advice to Management
Talent bleed is going to cost you if you don't take care of your tenured recruiters.
Be the first to find this review helpful
Helpful
Share
Repor",1.0
Anonymous,,7 Jan 2022 ,Good,"Good employer good benefits and flexible
","No cons i can think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Sales Strategy and Operations,Singapore,19 Jan 2022 ,-,"good pay good culture good manager
","political, too much fat in the organisation
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,5 Jan 2022 ,Great experience,"Work life balance, nice benefits
","Not really a cons, but navigating the company can be a little ambiguous.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Assistant Manager,"Old Kallang Airport Estate,",18 Jan 2022 ,N.A,"Up to you to adjust timing
","To little friends to talk
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Finance Manager,Singapore,3 Jan 2022 ,Awesome company to work for,"Smart people, great culture, great benefits and competitive compensation.
","Evitably, big-company syndrome has creeped in over the years.
Advice to Management
Think and operate like a start-up again.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Account Strategist,Singapore,14 Jan 2022 ,Mixed feelings,"- big firm
- good perks
- flexible working environment
","- unsure about the hiring quality recently, especially in client service side. seems that everyone can get a job at Google nowadays
1 person found this review helpful
Helpful
Share
Repor",3.0
 Ads Specialist,"Bedok New Town,",27 Dec 2021 ,Great work env,"Forefront of industry and tech
","Size of organization and Covid work from home
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,26 Dec 2021 ,not bad,"not bad, feel work life balance
","not bad, far from home
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Recruiter,Singapore,6 Jan 2022 ,Friendly colleagues & peers,"Dynamic working environment with huge learning opportunity
","Fast paced and demanding work load
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Administrative Assistant,Singapore,22 Dec 2021 ,NA,"Great company to work for
","No Cons fo far. Love it
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Data Analyst,Singapore,20 Dec 2021 ,Data Analyst at Google Engineering team,"Good culture with many smart people
","Overwork and stressful environment to deliver daily.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 AI/ML Engineer,Singapore,13 Dec 2021 ,"Challenging, yet rewarding","Working at Google is really challenging. Every day, you are solving some of the most interesting problems in a highly efficient and optimized way. If you want to up your game, Google is the right place to be.
","One has to be careful with internally switching teams. Make sure that the new team will be a good fit for you. Otherwise, it will not be very productive both for the team and for yourself.
1 person found this review helpful
Helpful
Share
Repor",5.0
 Shipping and Receiving,Singapore,15 Dec 2021 ,good,"learned a lot at here
","nothing for cons, all good
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Product Marketing Manager,,15 Dec 2021 ,Awesome place to work,"Awesome culture and a place you will always be inspired to grow
","Impostor syndromes is something many new joiners would experience until you get comfortable with the role and culture
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Industry Manager,Singapore,8 Dec 2021 ,a,"great place to work overall
","hard for career progression overall
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,22 Dec 2021 ,Amazing benefits but unhealthy career growth opportunities,"Benefits they call them the golden handcuffs for a reason. They ate very generous with stock rewards, fair compensation, health benefits are top notch.
","Toxic, political atmosphere that perpetuated a culture of imposter syndrome. Not all departments were like this at Google but was true for GTM. Career growth in general was very, very challenging. They have a tendency to over hire from the outside vs. creating opportunities for people to grow within a role.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Software Engineering,,1 Dec 2021 ,Good company,"This company is very beautiful place
","Not have any cons in this company
Advice to Management
Im recommend this job
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 International Consultant,,30 Nov 2021 ,Best company,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Kind atmosphere, helping each others, good package, medical cover perfect, room to grow
Cons
Size creates bureaucracy and politics
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,29 Nov 2021 ,Software Engineer,"Flat Culture, Great Benefit and Facility
","Overworked, Extreme Competitive, OT, Slow Deployment
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,30 Nov 2021 ,great!,"very welcoming, staff is all friendly
","hectic job, loads of stuff to do
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Vice President Cyber Security,"New York, NY",5 Dec 2021 ,Nothing significant to report,"salary is higher than others
","a lot of junior staff
1 person found this review helpful
Helpful
Share
Repor",3.0
 Solutions Consultant,Singapore,9 Nov 2021 ,good,,"ltant in Singapore
Recommend
CEO Approval
Business Outlook
Pros
lots of motivated well educated people
Cons
some projects are more for visibility than the actual business needs
2 people found this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,30 Oct 2021 ,Great place to build a long and stable career,"Big company, lots of opportunity to try new things.
Leaders listen to employees.
Long time Googlers care about the culture, and ensure the company stays true to its values.
","Big company, a lot of the work is not glamorous anymore. We need to keep things running for billions of users. We need to stay at the cutting edge of privacy. So less opportunity to build brand new things.
Advice to Management
Remember that it's not the raw pay that makes Google a good place to work, but rather the people we hire and retain, and the positive, optimistic, inclusive, and fun culture. We need to keep that alive as Google grows.
4 people found this review helpful
Helpful
Share
Repor",5.0
 Staff Engineer,Singapore,12 Nov 2021 ,Best company,"High pay good wbl and benefits
","Hard to get in, no diversity
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Google SWE,Singapore,24 Nov 2021 ,SWE,"Wok Life Balance and good food
","low ball than other company
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Product Manager,,10 Nov 2021 ,Good work environment,"Good work environment with decent leadership.
","Slightly slow on the innovation side.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Operation Officer,,14 Dec 2021 ,No Salary Increment,"Lunch provided (not tasty to be honest)
","No reward or increment even you have gained recognition from the bank counterparts such as the government bodies, salary too low & no increment. Plan to leave soon if still no salary increment. Those who can't work get higher pay than you.
Advice to Management
Staffs who achieved recognition from the bank work counterpart such as the government authorities should be rewarded or at least have salary increment.
Be the first to find this review helpful
Helpful
Share
Repor",1.0
 Shopping Specialist,Singapore,18 Nov 2021 ,its okay,"Great people working next to you
","sometimes can be too much of work and no worklife balance
Advice to Management
Very conservative
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,2 Nov 2021 ,Partner Manager,"Amazing culture, benefit and people
","It is a company that can be a good fit for people that enjoy to work in a big corporate.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Head Of Operations,,3 Nov 2021 ,Good culture,"Strong employee Benefits and culture
","Complicated org structure and silos
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Financial Service Representative,Singapore,27 Oct 2021 ,Great to work here,"Respect each others is the best
","Not much bias for action
Advice to Management
more focus on action
1 person found this review helpful
Helpful
Share
Repor",5.0
 Account Strategist,Singapore,30 Oct 2021 ,OK,"Benefit and company culture are not bad
","I don see any Problem
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Student,Singapore,9 Nov 2021 ,Good,"Free food and drinks for me
","Far from my house :3
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,25 Oct 2021 ,Great culture & people,"Amazing helpful people.
Work life balance us great
","Growth is slow and decision making is not urgent
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,25 Oct 2021 ,Good place for career growth,"Good benefits. Great culture. Working with a bunch of motivated people.
","It's very competitive and takes time to be promoted.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer II,Singapore,22 Oct 2021 ,"Interesting work, good work life balance","Good working hours, lots of other benefits (health care, education, etc.)
","As far as I know no problem.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,,6 Nov 2021 ,Good company,"Free lunch and free drinks
","No work-life balance at all
Be the first to find this review helpful
Helpful
Share
Repor",3.0
 Director,Singapore,16 Oct 2021 ,Senior level management position in Google,"Fantastic company, really care about DEI and made concrete progress
","highly competitive. Promotion is hard to come by.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Software Engineer,Singapore,16 Oct 2021 ,Good,"All good, everything good, like it
","Current don’t have, maybe tell next time
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Finance,Singapore,31 Oct 2021 ,-,"Peers & Supervisors are friendly
","However, always need to multi-task
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,12 Oct 2021 ,it's a good company,"very good company in every aspect
","no particular cons to my knowledge
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,11 Oct 2021 ,Great,"Smart people, great perks and benefits
","Siloed work, red tape, many meetings
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,4 Oct 2021 ,Love it!,"Great culture and opportunities to grow
","Become a very large company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,14 Oct 2021 ,company culture,"work and life balance and good benefit
","too big too complex no flexibility
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Senior Software Engineer,Singapore,14 Oct 2021 ,good stuff,"great company to work for
","terrible ceo. do not approve
Advice to Management
thanks, i guess?
Be the first to find this review helpful
Helpful
Share
Repor",2.0
Anonymous,,28 Sept 2021 ,-,"great company to work at
","Better work allocation would be great
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Project Manager,Singapore,9 Oct 2021 ,Focused on results,"Flexible company that caters for remote working
","Compensation is fair but could work on hiring better associates
Be the first to find this review helpful
Helpful
Share
Repor",4.0
Anonymous,,24 Sept 2021 ,Good,"Dynamic with strategic management. Proactive
","Promotions are hard to come by
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Engineer,"Jurong West New Town,",23 Sept 2021 ,Engineering support,"Good culture and constructive workplace
","Slow pace and less growth
Advice to Management
Nil
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Head of Global Accounts,Singapore,17 Sept 2021 ,Great benefits,"Fantastic benefits, great colleagues, high achievers
","Bureaucratic given the size of the company
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,9 Sept 2021 ,Good,"Good benefits, great people and facilities
","Standard contract conversion woes etc
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,9 Sept 2021 ,Best company,"Amazing company Best environment Best coworkers
","Sometimes may have to work overtime
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Software Engineer,Singapore,1 Sept 2021 ,Senior Software Engineer,"Self Motivation Team Player. who always think out of the box.
","nothing special which i can identify
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Strategist,Singapore,1 Sept 2021 ,Best place!,"everything is a pro here!
","absolutely nothing that i can think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Senior Solutions Consultant,,30 Aug 2021 ,Excellent place to work,,"ltant 
Recommend
CEO Approval
Business Outlook
Pros
Great people, excellent technology and infrastructure, 
Work life balance and benefits are also great.
Cons
Company is getting too big
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,31 Aug 2021 ,Amazing!,"Great culture, compensation, office, and team!
","Not really any cons I can think of
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Sales Operations Analyst,Singapore,3 Oct 2021 ,Overhyped,"Food was good. But thats it !
","Too much politics. People are not smart, have limited knowledge on tools used. Everyone is focussed on buttering the managers. Not a good place to be.
1 person found this review helpful
Helpful
Share
Repor",1.0
 Recruiter,,25 Aug 2021 ,Love it,"Flexibility, perks, comp, people, food
","Long hours, ambiguity, average managers
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Global Mobility Specialist,Singapore,21 Aug 2021 ,Great culture & people,"Great culture and great people
","nothing to add at this point
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Consultant ,Singapore,16 Aug 2021 ,Secure but slow moving,,"ltant - Strategy & Operations in Singapore
Recommend
CEO Approval
Business Outlook
Pros
Google's culture is known to be great and it is - for the Right person - open, inclusive, welcoming, learning focused... left, America, California-tech world.
Cons
With any large organisation, it moves very slowly and with the HQ in the US, APAC receives less attention and autonomy in decision making or implementing change.
1 person found this review helpful
Helpful
Share
Repor",5.0
 Associate Software Engineer,,28 Aug 2021 ,Nice culture,"Good culture and fast paced.
","Since this is a big company, i think the downside is slow progression.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Government Affairs Manager,Singapore,13 Aug 2021 ,Great place,"Still one of the greatest places to work.
","Org structure can still be messy even though it’s no longer a startup
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Tax,Singapore,12 Aug 2021 ,Great company,"Good benefits with great community
","Segmented responsibilities due to the size
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,Singapore,12 Aug 2021 ,Admin role review,"A good and progressive company to work for. Managers and teams are generally nice, respectful and considerate. Insurance package is comprehensive and other benefits are good too.
","Sometimes you can feel a little lost amidst business and process ambiguity in this huge tech firm. People are generally nice but also distant at the same time.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Strategy Consultant,Singapore,8 Aug 2021 ,Great place to work,,"ltant in Singapore
Recommend
CEO Approval
Business Outlook
Pros
Great company with smart and nice people
Cons
Too big and operates slow
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Planner,"Bedok New Town,",19 Aug 2021 ,A monster of a company,"Google has:
1. Great benefits
2. Organized and best in class tools
3. Training opportunities
4. Transfer opportunities
","Feels like a cog in a machine
Everything has to be optimized or automated
Type A personalities/ultra-competitive
1 person found this review helpful
Helpful
Share
Repor",3.0
 Marketing Specialist,Singapore,4 Aug 2021 ,Great,"Great work culture and a high performing team to work with.
","Cross-functional management is a must, otherwise a great company to work for.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Marketer,Singapore,3 Aug 2021 ,"Great place to work, but getting a bit too big","Leadership
Cares about doing the right thing
Good values
Supportive learning environment
","Getting too big to make meaningful change
Slow moving
Tools and systems are frustrating
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Strategic Partner Manager,Singapore,2 Aug 2021 ,Great place to work,"Good benefit, culture and team - managers and teammates are great.
","The company is getting bigger and more corporate now. It’ll be harder to climb the corporate ladder
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Program Manager,Singapore,1 Aug 2021 ,Great place to work for,"Great company , no issues.
","No issues , its a great company to work for.
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Junior Software Engineer,Singapore,29 Jul 2021 ,yes,"great company smart people great pay
","nothing much to be honest
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,24 Jul 2021 ,The best company,"Super smart people, great culture
","big company and very structure also lower than startup
1 person found this review helpful
Helpful
Share
Repor",5.0
 Account Manager,Singapore River,27 Jul 2021 ,Good company,"Benefits and compensation, I like that
","Too big to have a rapid growth
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Inside Sales Representative,Singapore,25 Jul 2021 ,Inside sales,"Great company with amazing perks and an awesome culture. Perfect place
","Nothing specific i can say at this point in time to be honest
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 TPM Manager,,24 Jul 2021 ,Awesome Company,"- Good work and life balance
","- too complex org which slow down a lot of things
Be the first to find this review helpful
Helpful
Share
Repor",5.0
Anonymous,,21 Jul 2021 ,"Like in University, wonderful people and camaraderie","Great health and wellness benefits
","Big organization, can feel bureaucratic
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Business Intern,Singapore,21 Jul 2021 ,Good experience,"Flexible working time, good benefits
","Competitive environment, especially if you are in the sales team
Be the first to find this review helpful
Helpful
Share
Repor",5.0
 Insights Manager,Singapore,3 Aug 2021 ,Competitive but Collaborative working environment,"Perks are great; Thoughtful conversations
","Loose structure; Product breath is too much to handle at times.
Be the first to find this review helpful
Helpful
Share
Repor",4.0
 Account Manager,,27 Jul 2021 ,Good,"Good company and good benefits
","High workload and a lot of meetings
Be the first to find this review helpful
Helpful
Share
Repor",3.0
